data {
 x, y
714, 12.367
715, 12.368
716, 12.369
717, 12.369
718, 12.37
719, 12.371
720, 12.372
721, 12.372
722, 12.373
723, 12.374
724, 12.375
725, 12.376
726, 12.376
727, 12.377
728, 12.378
729, 12.379
730, 12.38
731, 12.38
732, 12.381
733, 12.382
734, 12.383
735, 12.384
736, 12.385
737, 12.385
738, 12.386
739, 12.387
740, 12.388
741, 12.389
742, 12.39
743, 12.391
744, 12.391
745, 12.392
746, 12.393
747, 12.394
748, 12.395
749, 12.396
750, 12.397
751, 12.398
752, 12.398
753, 12.399
754, 12.4
755, 12.401
756, 12.402
757, 12.403
758, 12.404
759, 12.405
760, 12.406
761, 12.407
762, 12.407
763, 12.408
764, 12.409
765, 12.41
766, 12.411
767, 12.412
768, 12.413
769, 12.414
770, 12.415
771, 12.416
772, 12.417
773, 12.418
774, 12.419
775, 12.419
776, 12.42
777, 12.421
778, 12.422
779, 12.423
780, 12.424
781, 12.425
782, 12.426
783, 12.427
784, 12.428
785, 12.429
786, 12.43
787, 12.431
788, 12.432
789, 12.432
790, 12.433
791, 12.434
792, 12.435
793, 12.436
794, 12.437
795, 12.438
796, 12.439
797, 12.44
798, 12.441
799, 12.442
800, 12.443
801, 12.444
802, 12.445
803, 12.446
804, 12.447
805, 12.447
806, 12.448
807, 12.449
808, 12.45
809, 12.451
810, 12.452
811, 12.453
812, 12.454
813, 12.455
814, 12.456
815, 12.457
816, 12.457
817, 12.458
818, 12.459
819, 12.46
820, 12.461
821, 12.462
822, 12.463
823, 12.463
824, 12.464
825, 12.465
826, 12.466
827, 12.467
828, 12.468
829, 12.468
830, 12.469
831, 12.47
832, 12.471
833, 12.472
834, 12.472
835, 12.473
836, 12.474
837, 12.475
838, 12.475
839, 12.476
840, 12.477
841, 12.477
842, 12.478
843, 12.479
844, 12.479
845, 12.48
846, 12.481
847, 12.481
848, 12.482
849, 12.483
850, 12.483
851, 12.484
852, 12.484
853, 12.485
854, 12.485
855, 12.486
856, 12.487
857, 12.487
858, 12.488
859, 12.488
860, 12.489
861, 12.489
862, 12.489
863, 12.49
864, 12.49
865, 12.49
866, 12.491
867, 12.491
868, 12.491
869, 12.491
870, 12.492
871, 12.492
872, 12.492
873, 12.492
874, 12.492
875, 12.492
876, 12.492
877, 12.492
878, 12.492
879, 12.492
880, 12.492
881, 12.492
882, 12.492
883, 12.492
884, 12.492
885, 12.491
886, 12.491
887, 12.491
888, 12.491
889, 12.49
890, 12.49
891, 12.489
892, 12.489
893, 12.488
894, 12.488
895, 12.487
896, 12.486
897, 12.486
898, 12.485
899, 12.485
900, 12.484
901, 12.482
902, 12.481
903, 12.48
904, 12.478
905, 12.477
906, 12.475
907, 12.474
908, 12.472
909, 12.471
910, 12.47
911, 12.466
912, 12.463
913, 12.46
914, 12.457
915, 12.453
916, 12.45
917, 12.447
918, 12.444
919, 12.44
920, 12.437
921, 12.431
922, 12.425
923, 12.419
924, 12.414
925, 12.408
926, 12.402
927, 12.396
928, 12.39
929, 12.384
930, 12.378
931, 12.369
