"U_X","U_Y","EpsiXX","EpsiYY","EpsiXY","SigmaXX","SigmaYY","SigmaXY","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0044656,-7.9398e-09,7.0754e-05,-8.6619e-06,3.6262e-10,11.828,2.1845,1.1693e-05,1,69,69,0,0
0.0045359,-8.3159e-09,7.0891e-05,-8.788e-06,3.6798e-10,11.843,2.1691,1.1865e-05,1,70,70,0,0
0.0046074,-8.6963e-09,7.1006e-05,-8.9114e-06,3.4701e-10,11.855,2.1532,1.1188e-05,1,71,71,0,0
0.0046789,-9.0767e-09,7.1121e-05,-9.0347e-06,3.2605e-10,11.867,2.1374,1.051e-05,1,72,72,0,0
0.0047504,-9.4572e-09,7.1236e-05,-9.158e-06,3.0509e-10,11.879,2.1215,9.8324e-06,1,73,73,0,0
0.0048219,-9.8376e-09,7.1351e-05,-9.2814e-06,2.8413e-10,11.891,2.1057,9.1547e-06,1,74,74,0,0
0.0048935,-1.0218e-08,7.1465e-05,-9.4047e-06,2.6317e-10,11.904,2.0899,8.477e-06,1,75,75,0,0
0.004965,-1.0598e-08,7.158e-05,-9.528e-06,2.4221e-10,11.916,2.074,7.7994e-06,1,76,76,0,0
0.0050365,-1.0979e-08,7.1695e-05,-9.6514e-06,2.2125e-10,11.928,2.0582,7.1217e-06,1,77,77,0,0
0.005108,-1.1359e-08,7.181e-05,-9.7747e-06,2.0029e-10,11.94,2.0424,6.444e-06,1,78,78,0,0
0.0051795,-1.174e-08,7.1925e-05,-9.8981e-06,1.7933e-10,11.952,2.0265,5.7663e-06,1,79,79,0,0
0.0052511,-1.212e-08,7.204e-05,-1.0021e-05,1.5837e-10,11.964,2.0107,5.0886e-06,1,80,80,0,0
0.0053236,-1.2401e-08,7.2134e-05,-1.0141e-05,1.4695e-10,11.974,1.9947,4.7196e-06,1,81,81,0,0
0.0053962,-1.2682e-08,7.2228e-05,-1.026e-05,1.3554e-10,11.983,1.9786,4.3505e-06,1,82,82,0,0
0.0054687,-1.2962e-08,7.2323e-05,-1.038e-05,1.2412e-10,11.993,1.9626,3.9814e-06,1,83,83,0,0
0.0055413,-1.3243e-08,7.2417e-05,-1.0499e-05,1.1271e-10,12.002,1.9466,3.6123e-06,1,84,84,0,0
0.0056138,-1.3524e-08,7.2512e-05,-1.0619e-05,1.0129e-10,12.012,1.9306,3.2432e-06,1,85,85,0,0
0.0056864,-1.3804e-08,7.2606e-05,-1.0738e-05,8.988e-11,12.021,1.9145,2.8741e-06,1,86,86,0,0
0.005759,-1.4085e-08,7.2701e-05,-1.0857e-05,7.8465e-11,12.031,1.8985,2.505e-06,1,87,87,0,0
0.0058315,-1.4366e-08,7.2795e-05,-1.0977e-05,6.705e-11,12.04,1.8825,2.136e-06,1,88,88,0,0
0.0059041,-1.4647e-08,7.2889e-05,-1.1096e-05,5.5636e-11,12.049,1.8665,1.7669e-06,1,89,89,0,0
0.0059766,-1.4927e-08,7.2984e-05,-1.1216e-05,4.4221e-11,12.059,1.8504,1.3978e-06,1,90,90,0,0
0.00605,-1.4897e-08,7.3063e-05,-1.133e-05,2.4965e-11,12.066,1.8346,7.7571e-07,1,91,91,0,0
0.0061235,-1.4866e-08,7.3143e-05,-1.1445e-05,5.7086e-12,12.074,1.8187,1.5363e-07,1,92,92,0,0
0.0061969,-1.4836e-08,7.3222e-05,-1.156e-05,-1.3548e-11,12.081,1.8029,-4.6846e-07,1,93,93,0,0
0.0062703,-1.4805e-08,7.3301e-05,-1.1674e-05,-3.2804e-11,12.089,1.787,-1.0905e-06,1,94,94,0,0
0.0063437,-1.4774e-08,7.338e-05,-1.1789e-05,-5.206e-11,12.096,1.7712,-1.7126e-06,1,95,95,0,0
0.0064171,-1.4744e-08,7.346e-05,-1.1904e-05,-7.1317e-11,12.104,1.7553,-2.3347e-06,1,96,96,0,0
0.0064905,-1.4713e-08,7.3539e-05,-1.2018e-05,-9.0573e-11,12.111,1.7395,-2.9568e-06,1,97,97,0,0
0.0065639,-1.4683e-08,7.3618e-05,-1.2133e-05,-1.0983e-10,12.119,1.7236,-3.5789e-06,1,98,98,0,0
0.0066373,-1.4652e-08,7.3698e-05,-1.2247e-05,-1.2909e-10,12.126,1.7078,-4.2009e-06,1,99,99,0,0
0.0067107,-1.4621e-08,7.3777e-05,-1.2362e-05,-1.4834e-10,12.133,1.6919,-4.823e-06,1,100,100,0,0
0.0067849,-1.4049e-08,7.3847e-05,-1.2471e-05,-1.8479e-10,12.14,1.6766,-6.0003e-06,1,101,101,0,0
0.006859,-1.3476e-08,7.3918e-05,-1.2581e-05,-2.2125e-10,12.146,1.6612,-7.1775e-06,1,102,102,0,0
0.0069332,-1.2904e-08,7.3988e-05,-1.269e-05,-2.577e-10,12.152,1.6459,-8.3547e-06,1,103,103,0,0
0.0070073,-1.2332e-08,7.4059e-05,-1.2799e-05,-2.9415e-10,12.159,1.6306,-9.532e-06,1,104,104,0,0
0.0070814,-1.1759e-08,7.4129e-05,-1.2908e-05,-3.306e-10,12.165,1.6152,-1.0709e-05,1,105,105,0,0
0.0071556,-1.1187e-08,7.42e-05,-1.3018e-05,-3.6705e-10,12.171,1.5999,-1.1886e-05,1,106,106,0,0
0.0072297,-1.0614e-08,7.427e-05,-1.3127e-05,-4.035e-10,12.178,1.5846,-1.3064e-05,1,107,107,0,0
0.0073039,-1.0042e-08,7.4341e-05,-1.3236e-05,-4.3995e-10,12.184,1.5692,-1.4241e-05,1,108,108,0,0
0.007378,-9.4692e-09,7.4411e-05,-1.3345e-05,-4.7641e-10,12.19,1.5539,-1.5418e-05,1,109,109,0,0
0.0074522,-8.8967e-09,7.4482e-05,-1.3454e-05,-5.1286e-10,12.197,1.5386,-1.6595e-05,1,110,110,0,0
0.007527,-8.1688e-09,7.4546e-05,-1.3558e-05,-4.8387e-10,12.202,1.5239,-1.5658e-05,1,111,111,0,0
0.0076018,-7.4409e-09,7.461e-05,-1.3661e-05,-4.5488e-10,12.208,1.5093,-1.4721e-05,1,112,112,0,0
0.0076766,-6.713e-09,7.4674e-05,-1.3765e-05,-4.259e-10,12.214,1.4947,-1.3784e-05,1,113,113,0,0
0.0077515,-5.9852e-09,7.4739e-05,-1.3868e-05,-3.9691e-10,12.219,1.4801,-1.2847e-05,1,114,114,0,0
0.0078263,-5.2573e-09,7.4803e-05,-1.3972e-05,-3.6792e-10,12.225,1.4654,-1.191e-05,1,115,115,0,0
0.0079011,-4.5294e-09,7.4867e-05,-1.4075e-05,-3.3894e-10,12.231,1.4508,-1.0972e-05,1,116,116,0,0
0.0079759,-3.8015e-09,7.4932e-05,-1.4179e-05,-3.0995e-10,12.236,1.4362,-1.0035e-05,1,117,117,0,0
0.0080507,-3.0736e-09,7.4996e-05,-1.4282e-05,-2.8096e-10,12.242,1.4215,-9.0982e-06,1,118,118,0,0
0.0081255,-2.3457e-09,7.506e-05,-1.4385e-05,-2.5198e-10,12.247,1.4069,-8.161e-06,1,119,119,0,0
0.0082004,-1.6178e-09,7.5124e-05,-1.4489e-05,-2.2299e-10,12.253,1.3923,-7.2239e-06,1,120,120,0,0
0.0082758,-1.3715e-09,7.5183e-05,-1.4586e-05,-1.904e-10,12.258,1.3784,-6.1702e-06,1,121,121,0,0
0.0083512,-1.1252e-09,7.5241e-05,-1.4684e-05,-1.5781e-10,12.263,1.3646,-5.1165e-06,1,122,122,0,0
0.0084267,-8.7884e-10,7.5299e-05,-1.4781e-05,-1.2522e-10,12.268,1.3507,-4.0628e-06,1,123,123,0,0
